node,product,amount(tonne/week),time
dairy104,p2,2971.7929481204337,12
dairy104,p2,2348.281182546956,13
dairy104,p2,1724.7694169734782,14
dairy104,p2,1211.2575000000004,15
dairy104,p3,11959.991126721001,1
dairy104,p3,12049.658753442001,2
dairy104,p3,11052.06647904672,3
dairy104,p3,10285.443327254625,4
dairy104,p3,9518.820175462532,5
dairy104,p3,8752.197023670436,6
dairy104,p3,8022.509129602702,7
dairy104,p3,7255.885977810607,8
dairy104,p3,6489.262826018512,9
dairy104,p3,5336.416468014219,10
dairy104,p3,4271.589539490934,11
dairy104,p3,3471.1114138132007,12
dairy104,p3,2741.4235197454673,13
dairy104,p3,1940.945394067734,14
dairy104,p3,1211.2575000000004,15
dairy109,p2,2610.1858679099996,1
dairy109,p2,3028.621202246272,2
dairy109,p2,3284.366951994936,3
dairy109,p2,2724.35549854952,4
dairy109,p2,2164.3440451041038,5
dairy109,p2,1642.4471805449116,6
dairy109,p2,1082.4357270994956,7
dairy109,p2,522.4242736540796,8
dairy109,p2,111.37781988080769,10
dairy109,p2,50.149332547847735,11
dairy109,p2,343.48226208784774,12
dairy109,p2,148.23023179027365,13
dairy109,p3,2189.4190882199996,1
dairy109,p3,2330.99955144,2
dairy109,p3,1459.8769176087949,3
dairy109,p3,1554.263893088795,4
dairy109,p3,1648.650868568795,5
dairy109,p3,1684.9755526806,6
dairy109,p3,1779.3625281606,7
dairy109,p3,1873.7495036406,8
dairy109,p3,1968.1364791206001,9
dairy109,p3,1265.359094029798,10
dairy109,p3,657.1782364132238,11
dairy109,p3,63.52219899240009,13
dairy109,p3,157.90917447240008,14
dairy111,p2,25.200000000000006,2
dairy111,p2,25.200000000000006,3
dairy111,p2,25.200000000000006,7
dairy111,p2,25.200000000000006,12
dairy111,p3,25.200000000000006,2
dairy111,p3,25.200000000000006,5
dairy111,p3,25.200000000000006,6
dairy111,p3,25.200000000000006,8
dairy111,p3,25.200000000000006,9
dairy111,p3,25.200000000000006,11
dairy112,p2,97.84438256053417,1
dairy112,p2,187.35000000000002,2
dairy112,p2,187.35000000000002,3
dairy112,p2,187.35000000000002,4
dairy112,p2,84.96134792617607,5
dairy112,p2,145.07625580777687,6
dairy112,p2,97.9464637831743,7
dairy112,p2,42.03091125112098,13
dairy112,p2,40.62941437797804,14
dairy112,p3,116.55976839000003,1
