# 1. Arc ID| 2. Arc first node| 3. Arc second node| 4. Arc capacity|5. Arc length
A00432|NC011|NC150|1.00E+06|30.70681588
A00433|NC011|NC152|1.00E+06|160.4711809
A00434|NC011|NC154|1.00E+06|171.2337294
A00435|NC011|NC157|1.00E+06|188.8349645
A00436|NC011|NC158|1.00E+06|119.9521886
A00437|NC011|NC160|1.00E+06|125.4516263
A00438|NC011|NC161|1.00E+06|151.8317254
A00439|NC011|NC162|1.00E+06|93.29332592
A00440|NC011|NC166|1.00E+06|125.4800264
A00441|NC011|NC167|1.00E+06|209.8814775
A00442|NC011|NC168|1.00E+06|230.5831705
A00443|NC011|NC173|1.00E+06|65.28502484
A00444|NC011|NC174|1.00E+06|83.61167851
A00445|NC011|NC175|1.00E+06|44.5078986
A00446|NC011|NC179|1.00E+06|66.43109689
A00447|NC011|NC189|1.00E+06|310.3502822
A00448|NC011|NC190|1.00E+06|341.7200302
A00449|NC011|NC192|1.00E+06|369.3978217
A00450|NC011|NC193|1.00E+06|376.7216933
A00451|NC011|NC194|1.00E+06|109.1953188
A00452|NC011|NC195|1.00E+06|239.2497911
A00453|NC011|NC196|1.00E+06|220.4694165
A00454|NC011|NC197|1.00E+06|202.9676512
A00455|NC011|NC198|1.00E+06|206.47277
A00456|NC011|NC199|1.00E+06|300.1665811
A00457|NC011|NC200|1.00E+06|49.71302382
A00458|NC011|NC201|1.00E+06|61.66160793
A00459|NC011|NC202|1.00E+06|78.73022709
A00460|NC011|NC203|1.00E+06|116.7682049
A00461|NC011|NC205|1.00E+06|105.2875443
A00462|NC011|NC206|1.00E+06|61.2560939
A00463|NC011|NC207|1.00E+06|46.38971783
A00464|NC011|NC213|1.00E+06|58.18403857
A00465|NC011|NC215|1.00E+06|77.54210676
A00466|NC011|NC216|1.00E+06|356.8860833
A00467|NC011|NC217|1.00E+06|361.0898346
A00468|NC011|NC219|1.00E+06|347.5167222
A00469|NC011|NC220|1.00E+06|268.6922396
A00470|NC011|NC222|1.00E+06|271.7257534
A00471|NC011|NC223|1.00E+06|277.3091103
A00472|NC011|NC224|1.00E+06|219.897328
A00473|NC011|NC227|1.00E+06|228.0681274
A00474|NC011|NC228|1.00E+06|172.166289
A00475|NC011|NC229|1.00E+06|189.4692847
A00476|NC011|NC230|1.00E+06|197.9273962
A00477|NC011|NC231|1.00E+06|351.3816796
A00478|NC011|NC233|1.00E+06|85.99270039
A00479|NC011|NC234|1.00E+06|99.67031779
A00480|NC011|NC236|1.00E+06|60.29237968
A00481|NC011|NC237|1.00E+06|73.89531428
A00482|NC011|NC238|1.00E+06|78.4247853
A00483|NC011|NC240|1.00E+06|79.19219959
A00484|NC011|NC241|1.00E+06|55.68750955
A00485|NC011|NC242|1.00E+06|25.19205368
A00486|NC011|NC243|1.00E+06|62.03688649
A00487|NC011|NC245|1.00E+06|165.3793878
A00488|NC012|NC002|1.00E+06|132.0183405
A00489|NC012|NC003|1.00E+06|15.10658494
A00490|NC012|NC004|1.00E+06|316.0089538
A00491|NC012|NC005|1.00E+06|314.1633641
A00492|NC012|NC006|1.00E+06|320.4495345
A00493|NC012|NC007|1.00E+06|332.155044
A00494|NC012|NC008|1.00E+06|293.3033174
A00495|NC012|NC013|1.00E+06|38.02939403
A00496|NC012|NC015|1.00E+06|6.723128426
A00497|NC012|NC025|1.00E+06|11.9727772
A00498|NC012|NC026|1.00E+06|1.858624652
A00499|NC012|NC029|1.00E+06|304.5480897
A00500|NC012|NC031|1.00E+06|389.4302204
A00501|NC012|NC032|1.00E+06|19.94492949
A00502|NC012|NC034|1.00E+06|20.77125233
A00503|NC012|NC040|1.00E+06|6.472937974
A00504|NC012|NC041|1.00E+06|237.8734755
A00505|NC012|NC042|1.00E+06|275.5107023
A00506|NC012|NC043|1.00E+06|193.6994187
A00507|NC012|NC044|1.00E+06|178.9079782
A00508|NC012|NC045|1.00E+06|195.045545
A00509|NC012|NC048|1.00E+06|189.3824131
A00510|NC012|NC049|1.00E+06|210.2712753
A00511|NC012|NC050|1.00E+06|194.5431396
A00512|NC012|NC051|1.00E+06|214.3904718
A00513|NC012|NC052|1.00E+06|183.3667065
A00514|NC012|NC054|1.00E+06|146.5350859
A00515|NC012|NC061|1.00E+06|150.247692
A00516|NC012|NC063|1.00E+06|161.019499
A00517|NC012|NC064|1.00E+06|171.6968276
A00518|NC012|NC065|1.00E+06|82.96489898
A00519|NC012|NC066|1.00E+06|134.6537356
A00520|NC012|NC068|1.00E+06|100.409231
A00521|NC012|NC069|1.00E+06|107.9280134
A00522|NC012|NC070|1.00E+06|69.28055277
A00523|NC012|NC071|1.00E+06|306.7935071
A00524|NC012|NC074|1.00E+06|298.3077646
A00525|NC012|NC076|1.00E+06|51.60563669
A00526|NC012|NC080|1.00E+06|90.75523293
A00527|NC012|NC086|1.00E+06|66.71191298
A00528|NC012|NC089|1.00E+06|65.75525429
