#1. Demand ID,2. Node ID,3. Time,4. Product,5. Bid,6. Capacity,7. Emissions,8. Emissions coefficients
D00462,N13211,T0,Recyclables,0.0,10000000,,
D00463,N13213,T0,Recyclables,0.0,10000000,,
D00464,N13215,T0,Recyclables,0.0,10000000,,
D00465,N13217,T0,Recyclables,0.0,10000000,,
D00466,N13219,T0,Recyclables,0.0,10000000,,
D00467,N13221,T0,Recyclables,0.0,10000000,,
D00468,N13223,T0,Recyclables,0.0,10000000,,
D00469,N13225,T0,Recyclables,0.0,10000000,,
D00470,N13227,T0,Recyclables,0.0,10000000,,
D00471,N13229,T0,Recyclables,0.0,10000000,,
D00472,N13231,T0,Recyclables,0.0,10000000,,
D00473,N13233,T0,Recyclables,0.0,10000000,,
D00474,N13235,T0,Recyclables,0.0,10000000,,
D00475,N13237,T0,Recyclables,0.0,10000000,,
D00476,N13239,T0,Recyclables,0.0,10000000,,
D00477,N13241,T0,Recyclables,0.0,10000000,,
D00478,N13243,T0,Recyclables,0.0,10000000,,
D00479,N13245,T0,Recyclables,0.0,10000000,,
D00480,N13247,T0,Recyclables,0.0,10000000,,
D00481,N13249,T0,Recyclables,0.0,10000000,,
D00482,N13251,T0,Recyclables,0.0,10000000,,
D00483,N13253,T0,Recyclables,0.0,10000000,,
D00484,N13255,T0,Recyclables,0.0,10000000,,
D00485,N13257,T0,Recyclables,0.0,10000000,,
D00486,N13259,T0,Recyclables,0.0,10000000,,
D00487,N13261,T0,Recyclables,0.0,10000000,,
D00488,N13263,T0,Recyclables,0.0,10000000,,
D00489,N13265,T0,Recyclables,0.0,10000000,,
D00490,N13267,T0,Recyclables,0.0,10000000,,
D00491,N13269,T0,Recyclables,0.0,10000000,,
D00492,N13271,T0,Recyclables,0.0,10000000,,
D00493,N13273,T0,Recyclables,0.0,10000000,,
D00494,N13275,T0,Recyclables,0.0,10000000,,
D00495,N13277,T0,Recyclables,0.0,10000000,,
D00496,N13279,T0,Recyclables,0.0,10000000,,
D00497,N13281,T0,Recyclables,0.0,10000000,,
D00498,N13283,T0,Recyclables,0.0,10000000,,
D00499,N13285,T0,Recyclables,0.0,10000000,,
D00500,N13287,T0,Recyclables,0.0,10000000,,
D00501,N13289,T0,Recyclables,0.0,10000000,,
D00502,N13291,T0,Recyclables,0.0,10000000,,
D00503,N13293,T0,Recyclables,0.0,10000000,,
D00504,N13295,T0,Recyclables,0.0,10000000,,
D00505,N13297,T0,Recyclables,0.0,10000000,,
